"reference","file","family","category","load_result","runtime_hit_count","runtime_locations","mapped_to"
"ae.safetensors","ae.safetensors","Other","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\vae\ae.safetensors",
"controlnet-canny-sdxl-1.0-small.safetensors","controlnet-canny-sdxl-1.0-small.safetensors","SDXL","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\controlnet\controlnet-canny-sdxl-1.0-small.safetensors",
"controlnet-depth-sdxl-1.0-small.fp16.safetensors","controlnet-depth-sdxl-1.0-small.fp16.safetensors","SDXL","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\controlnet\controlnet-depth-sdxl-1.0-small.fp16.safetensors",
"controlnet-openpose-sdxl-1.0.safetensors","controlnet-openpose-sdxl-1.0.safetensors","SDXL","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\controlnet\controlnet-openpose-sdxl-1.0.safetensors",
"flux1-dev-fp8.safetensors","flux1-dev-fp8.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\checkpoints\flux1-dev-fp8.safetensors",
"flux1-schnell-fp8.safetensors","flux1-schnell-fp8.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\checkpoints\flux1-schnell-fp8.safetensors",
"qwen_3_4b.safetensors","qwen_3_4b.safetensors","LLM","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\text_encoders\qwen_3_4b.safetensors",
"RealESRGAN_x4plus.pth","RealESRGAN_x4plus.pth","Other","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\upscale_models\RealESRGAN_x4plus.pth",
"RealVisXL_V5.0_fp16.safetensors","RealVisXL_V5.0_fp16.safetensors","Other","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\checkpoints\RealVisXL_V5.0_fp16.safetensors",
"wave42/flux/fluids/flux_fluids_Dirty_Sweat_Movie.safetensors","flux_fluids_Dirty_Sweat_Movie.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_Dirty_Sweat_Movie.safetensors",
"wave42/flux/fluids/flux_fluids_flux_sweat_v2.safetensors","flux_fluids_flux_sweat_v2.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_flux_sweat_v2.safetensors",
"wave42/flux/fluids/flux_fluids_mascara-tears-v2.safetensors","flux_fluids_mascara-tears-v2.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_mascara-tears-v2.safetensors",
"wave42/flux/fluids/flux_fluids_Oily_skin_style_v1.safetensors","flux_fluids_Oily_skin_style_v1.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_Oily_skin_style_v1.safetensors",
"wave42/flux/fluids/flux_fluids_SWEATY.safetensors","flux_fluids_SWEATY.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_SWEATY.safetensors",
"wave42/flux/fluids/flux_fluids_Sweaty_1.safetensors","flux_fluids_Sweaty_1.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_Sweaty_1.safetensors",
"wave42/flux/hands/flux_hands_Better_hands_flux_v1_0.safetensors","flux_hands_Better_hands_flux_v1_0.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\hands\flux_hands_Better_hands_flux_v1_0.safetensors",
"wave42/flux/hands/flux_hands_Detailed_Hands-000001.safetensors","flux_hands_Detailed_Hands-000001.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\hands\flux_hands_Detailed_Hands-000001.safetensors",
"wave42/flux/hands/flux_hands_feminine_hands.safetensors","flux_hands_feminine_hands.safetensors","Flux","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\hands\flux_hands_feminine_hands.safetensors",
