"reference","file","family","category","runtime_hit_count","runtime_locations","load_result","mapped_to"
"/home/ubuntu/ComfyUI/models/ultralytics/bbox/hand_yolov8n.pt","hand_yolov8n.pt","Vision-Control","ModelRef","0","","missing",
"ae.safetensors","ae.safetensors","Other","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\vae\ae.safetensors","found",
"bbox/hand_yolov8n.pt","hand_yolov8n.pt","Vision-Control","ModelRef","0","","missing","/home/ubuntu/ComfyUI/models/ultralytics/bbox/hand_yolov8n.pt"
"C:\Comfy_UI_Lora\downloads\Hands\Better hands flux v1.0.safetensors","Better hands flux v1.0.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\hands\flux_hands_Better_hands_flux_v1_0.safetensors","found","flux_hands_Better_hands_flux_v1_0.safetensors"
"C:\Comfy_UI_Lora\downloads\Hands\Detailed_Hands-000001.safetensors","Detailed_Hands-000001.safetensors","Other","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\hands\flux_hands_Detailed_Hands-000001.safetensors","found","flux_hands_Detailed_Hands-000001.safetensors"
"C:\Comfy_UI_Lora\downloads\Hands\feminine_hands.safetensors","feminine_hands.safetensors","Other","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\hands\flux_hands_feminine_hands.safetensors","found","flux_hands_feminine_hands.safetensors"
"C:\Comfy_UI_Lora\downloads\Hands\Hand v2.safetensors","Hand v2.safetensors","Other","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\hands\flux_hands_Hand_v2.safetensors","found","flux_hands_Hand_v2.safetensors"
"C:\Comfy_UI_Lora\downloads\Hands\Hands.safetensors","Hands.safetensors","Other","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\sdxl\jewelry_accessories\sdxl_jewelry_accessories_Hands.safetensors","found","sdxl_jewelry_accessories_Hands.safetensors"
"controlnet-canny-sdxl-1.0-small.safetensors","controlnet-canny-sdxl-1.0-small.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\controlnet\controlnet-canny-sdxl-1.0-small.safetensors","found",
"controlnet-depth-sdxl-1.0-small.fp16.safetensors","controlnet-depth-sdxl-1.0-small.fp16.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\controlnet\controlnet-depth-sdxl-1.0-small.fp16.safetensors","found",
"controlnet-openpose-sdxl-1.0.safetensors","controlnet-openpose-sdxl-1.0.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\controlnet\controlnet-openpose-sdxl-1.0.safetensors","found",
"dw-ll_ucoco_384_bs5.torchscript.pt","dw-ll_ucoco_384_bs5.torchscript.pt","Vision-Control","ModelRef","0","","missing",
"flux1-dev-fp8.safetensors","flux1-dev-fp8.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\checkpoints\flux1-dev-fp8.safetensors","found",
"flux1-schnell-fp8.safetensors","flux1-schnell-fp8.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\checkpoints\flux1-schnell-fp8.safetensors","found",
"qwen_3_4b.safetensors","qwen_3_4b.safetensors","LLM","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\text_encoders\qwen_3_4b.safetensors","found",
"RealESRGAN_x4plus.pth","RealESRGAN_x4plus.pth","Other","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\upscale_models\RealESRGAN_x4plus.pth","found",
"RealVisXL_V5.0_fp16.safetensors","RealVisXL_V5.0_fp16.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\checkpoints\RealVisXL_V5.0_fp16.safetensors","found",
"sam_vit_b_01ec64.pth","sam_vit_b_01ec64.pth","Vision-Control","ModelRef","0","","missing",
"wave42/flux/fluids/flux_fluids_Dirty_Sweat_Movie.safetensors","flux_fluids_Dirty_Sweat_Movie.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_Dirty_Sweat_Movie.safetensors","found",
"wave42/flux/fluids/flux_fluids_flux_sweat_v2.safetensors","flux_fluids_flux_sweat_v2.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_flux_sweat_v2.safetensors","found",
"wave42/flux/fluids/flux_fluids_mascara-tears-v2.safetensors","flux_fluids_mascara-tears-v2.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_mascara-tears-v2.safetensors","found",
"wave42/flux/fluids/flux_fluids_Oily_skin_style_v1.safetensors","flux_fluids_Oily_skin_style_v1.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_Oily_skin_style_v1.safetensors","found",
"wave42/flux/fluids/flux_fluids_SWEATY.safetensors","flux_fluids_SWEATY.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_SWEATY.safetensors","found",
"wave42/flux/fluids/flux_fluids_Sweaty_1.safetensors","flux_fluids_Sweaty_1.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\fluids\flux_fluids_Sweaty_1.safetensors","found",
"wave42/flux/hands/flux_hands_Better_hands_flux_v1_0.safetensors","flux_hands_Better_hands_flux_v1_0.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\hands\flux_hands_Better_hands_flux_v1_0.safetensors","found",
